2017-02-14 23:28:51 status unpacked locales:all 2.23-0ubuntu3
2017-02-14 23:28:51 status unpacked locales:all 2.23-0ubuntu3
2017-02-14 23:28:51 install login:amd64 <none> 1:4.2-3.1ubuntu5
2017-02-14 23:28:51 status half-installed login:amd64 1:4.2-3.1ubuntu5
2017-02-14 23:28:51 status unpacked login:amd64 1:4.2-3.1ubuntu5
2017-02-14 23:28:51 status unpacked login:amd64 1:4.2-3.1ubuntu5
2017-02-14 23:28:51 install lsb-base:all <none> 9.20160110
2017-02-14 23:28:51 status half-installed lsb-base:all 9.20160110
2017-02-14 23:28:51 status unpacked lsb-base:all 9.20160110
2017-02-14 23:28:51 status unpacked lsb-base:all 9.20160110
2017-02-14 23:28:51 install makedev:all <none> 2.3.1-93ubuntu1
